05-04,-0.7,2.1,5.4,3.8,9.3,14.3,0.0,0.0,3.1,240,69
06-04,-3.0,0.9,3.4,7.1,10.4,16.5,0.0,0.1,0.3,235,67
07-04,-3.1,0.7,4.6,9.3,12.5,15.2,0.0,0.1,0.0,98,66
08-04,-1.6,1.4,4.8,11.7,14.4,17.6,0.0,0.1,0.5,0,65
09-04,-0.8,3.2,7.3,9.8,13.8,17.2,0.0,0.0,0.8,0,61
10-04,-2.1,2.2,5.4,9.7,14.4,16.6,0.0,0.0,0.3,300,56
11-04,-1.4,2.9,7.9,10.2,14.0,20.4,0.0,0.0,1.4,148,62
12-04,-3.0,2.0,6.0,9.7,15.5,24.5,0.0,0.0,0.2,333,63
13-04,-1.8,2.4,7.3,5.8,13.7,18.9,0.0,0.0,5.7,527,75
14-04,-1.9,1.9,4.4,3.8,9.9,18.9,0.0,0.0,10.1,330,72
15-04,-1.9,1.8,5.8,7.3,11.1,18.4,0.0,0.0,1.4,222,70
16-04,0.2,2.6,5.4,3.8,9.8,17.3,0.0,0.0,1.2,327,71
17-04,-2.8,1.5,8.1,5.4,10.5,16.4,0.0,0.0,0.4,550,72
18-04,-4.1,2.9,7.7,4.6,13.2,18.2,0.0,0.0,1.1,473,68
19-04,-0.1,3.5,7.5,8.3,13.4,17.7,0.0,0.0,6.1,480,81
20-04,-1.4,3.0,8.3,8.6,15.3,21.6,0.0,0.0,0.4,358,70
21-04,0.9,3.5,6.2,13.0,16.8,22.0,0.0,0.0,0.0,113,67
22-04,1.5,3.8,7.5,8.6,14.8,18.9,0.0,0.0,0.7,417,66
23-04,1.9,3.9,5.6,6.7,13.2,18.6,0.0,0.0,1.0,198,66
24-04,-0.9,3.3,6.7,6.7,13.6,20.2,0.0,0.0,3.4,575,69
25-04,0.7,4.3,7.3,9.7,13.1,17.3,0.0,0.0,1.7,528,74
26-04,1.9,3.8,6.8,6.0,10.7,15.3,0.0,0.0,0.9,640,83
27-04,0.2,2.9,5.6,5.6,10.8,16.0,0.0,0.0,2.0,143,78
28-04,-2.8,2.6,5.2,11.1,13.8,17.3,0.0,0.0,0.2,0,72
29-04,-3.1,2.0,7.3,5.8,12.3,17.6,0.0,0.0,1.2,2,72
30-04,0.0,2.1,5.0,9.9,15.1,19.0,0.0,0.0,0.5,207,72
01-05,0.2,4.6,6.7,9.5,15.6,23.0,0.0,0.0,4.0,38,71
02-05,1.3,5.2,8.1,7.7,15.6,23.0,0.0,0.0,0.7,0,66
03-05,2.3,5.4,9.5,8.8,14.5,22.7,0.0,0.0,5.3,2,71
04-05,-0.7,5.1,9.9,10.8,14.5,22.0,0.0,0.0,1.9,0,74
05-05,-1.4,4.6,11.3,9.7,14.9,20.6,0.0,0.0,1.9,0,83
06-05,-0.1,4.8,9.0,7.5,14.0,19.9,0.0,0.0,3.2,228,73
07-05,0.4,3.6,6.8,8.9,14.5,19.9,0.0,0.0,0.1,0,67
08-05,-1.2,3.5,6.0,11.5,14.7,18.4,0.0,0.0,3.8,655,72
09-05,-0.3,3.4,5.4,9.3,16.0,21.6,0.0,0.0,0.5,547,77
10-05,1.3,4.4,7.7,10.1,17.4,22.9,0.0,0.0,0.3,158,71
